port1,port2,ISO3_1,ISO3_2
4,83,4C,83C
4,88,4C,88C
5,11,5C,11C
5,12,5C,12C
5,13,5C,13C
5,14,5C,14C
5,16,5C,16C
5,17,5C,17C
5,19,5C,19C
5,23,5C,23C
5,25,5C,25C
5,26,5C,26C
5,31,5C,31C
5,36,5C,36C
5,42,5C,42C
5,44,5C,44C
5,58,5C,58C
5,70,5C,70C
5,74,5C,74C
5,75,5C,75C
5,77,5C,77C
5,82,5C,82C
5,87,5C,87C
5,96,5C,96C
5,98,5C,98C
6,11,6C,11C
6,12,6C,12C
6,13,6C,13C
6,14,6C,14C
6,16,6C,16C
6,17,6C,17C
6,19,6C,19C
6,22,6C,22C
6,24,6C,24C
6,27,6C,27C
6,29,6C,29C
6,30,6C,30C
6,33,6C,33C
6,37,6C,37C
6,47,6C,47C
6,60,6C,60C
6,66,6C,66C
6,68,6C,68C
6,70,6C,70C
6,72,6C,72C
6,75,6C,75C
6,76,6C,76C
6,81,6C,81C
6,88,6C,88C
6,94,6C,94C
7,11,7C,11C
7,13,7C,13C
7,14,7C,14C
7,15,7C,15C
7,19,7C,19C
7,20,7C,20C
7,21,7C,21C
7,23,7C,23C
7,24,7C,24C
7,27,7C,27C
7,29,7C,29C
7,33,7C,33C
7,37,7C,37C
7,41,7C,41C
7,45,7C,45C
7,48,7C,48C
7,66,7C,66C
7,74,7C,74C
7,83,7C,83C
7,89,7C,89C
7,90,7C,90C
8,11,8C,11C
8,12,8C,12C
8,14,8C,14C
8,15,8C,15C
8,16,8C,16C
8,18,8C,18C
8,21,8C,21C
8,23,8C,23C
8,25,8C,25C
8,29,8C,29C
8,30,8C,30C
8,32,8C,32C
8,33,8C,33C
8,38,8C,38C
8,42,8C,42C
8,51,8C,51C
8,62,8C,62C
8,82,8C,82C
9,11,9C,11C
9,12,9C,12C
9,21,9C,21C
9,22,9C,22C
9,30,9C,30C
9,32,9C,32C
9,33,9C,33C
9,39,9C,39C
9,41,9C,41C
9,59,9C,59C
9,82,9C,82C
9,90,9C,90C
9,95,9C,95C
9,96,9C,96C
10,11,10C,11C
10,12,10C,12C
10,14,10C,14C
10,15,10C,15C
10,16,10C,16C
10,17,10C,17C
10,18,10C,18C
10,19,10C,19C
10,20,10C,20C
10,21,10C,21C
10,22,10C,22C
10,28,10C,28C
10,29,10C,29C
10,30,10C,30C
10,31,10C,31C
10,33,10C,33C
10,35,10C,35C
10,38,10C,38C
10,40,10C,40C
10,42,10C,42C
10,43,10C,43C
10,44,10C,44C
10,49,10C,49C
10,52,10C,52C
10,58,10C,58C
10,59,10C,59C
10,60,10C,60C
10,67,10C,67C
10,69,10C,69C
10,70,10C,70C
10,72,10C,72C
10,78,10C,78C
10,81,10C,81C
10,97,10C,97C
11,12,11C,12C
11,13,11C,13C
11,14,11C,14C
11,15,11C,15C
11,17,11C,17C
11,18,11C,18C
11,19,11C,19C
11,24,11C,24C
11,27,11C,27C
11,34,11C,34C
11,35,11C,35C
11,44,11C,44C
11,46,11C,46C
11,47,11C,47C
11,54,11C,54C
11,60,11C,60C
11,65,11C,65C
11,78,11C,78C
11,80,11C,80C
11,95,11C,95C
12,13,12C,13C
12,15,12C,15C
12,16,12C,16C
12,17,12C,17C
12,18,12C,18C
12,20,12C,20C
12,23,12C,23C
12,25,12C,25C
12,28,12C,28C
12,29,12C,29C
12,31,12C,31C
12,35,12C,35C
12,40,12C,40C
12,43,12C,43C
12,50,12C,50C
12,53,12C,53C
12,55,12C,55C
12,62,12C,62C
12,63,12C,63C
12,64,12C,64C
12,68,12C,68C
12,72,12C,72C
12,77,12C,77C
12,87,12C,87C
13,14,13C,14C
13,17,13C,17C
13,18,13C,18C
13,19,13C,19C
13,20,13C,20C
13,23,13C,23C
13,27,13C,27C
13,28,13C,28C
13,32,13C,32C
13,34,13C,34C
13,37,13C,37C
13,39,13C,39C
13,41,13C,41C
13,42,13C,42C
13,43,13C,43C
13,45,13C,45C
13,51,13C,51C
13,52,13C,52C
13,53,13C,53C
13,58,13C,58C
13,61,13C,61C
13,62,13C,62C
13,63,13C,63C
13,68,13C,68C
13,69,13C,69C
13,73,13C,73C
13,85,13C,85C
13,86,13C,86C
14,15,14C,15C
14,16,14C,16C
14,17,14C,17C
14,18,14C,18C
14,19,14C,19C
14,20,14C,20C
14,22,14C,22C
14,27,14C,27C
14,28,14C,28C
14,30,14C,30C
14,31,14C,31C
14,35,14C,35C
14,36,14C,36C
14,40,14C,40C
14,47,14C,47C
14,53,14C,53C
14,55,14C,55C
14,57,14C,57C
14,58,14C,58C
14,63,14C,63C
14,64,14C,64C
14,65,14C,65C
14,71,14C,71C
14,79,14C,79C
14,80,14C,80C
14,87,14C,87C
14,89,14C,89C
14,96,14C,96C
15,16,15C,16C
15,19,15C,19C
15,27,15C,27C
15,33,15C,33C
15,38,15C,38C
15,42,15C,42C
15,43,15C,43C
15,46,15C,46C
15,47,15C,47C
15,48,15C,48C
15,50,15C,50C
15,53,15C,53C
15,59,15C,59C
15,61,15C,61C
15,67,15C,67C
15,80,15C,80C
15,89,15C,89C
15,94,15C,94C
15,97,15C,97C
16,18,16C,18C
16,19,16C,19C
16,20,16C,20C
16,21,16C,21C
16,22,16C,22C
16,26,16C,26C
16,27,16C,27C
16,28,16C,28C
16,30,16C,30C
16,36,16C,36C
16,37,16C,37C
16,39,16C,39C
16,41,16C,41C
16,43,16C,43C
16,44,16C,44C
16,46,16C,46C
16,55,16C,55C
16,56,16C,56C
16,60,16C,60C
16,66,16C,66C
16,68,16C,68C
16,75,16C,75C
16,82,16C,82C
16,98,16C,98C
17,20,17C,20C
17,22,17C,22C
17,23,17C,23C
17,24,17C,24C
17,26,17C,26C
17,28,17C,28C
17,29,17C,29C
17,31,17C,31C
17,33,17C,33C
17,35,17C,35C
17,36,17C,36C
17,41,17C,41C
17,42,17C,42C
17,44,17C,44C
17,45,17C,45C
17,51,17C,51C
17,54,17C,54C
17,55,17C,55C
17,59,17C,59C
17,62,17C,62C
17,64,17C,64C
17,65,17C,65C
17,68,17C,68C
17,69,17C,69C
17,70,17C,70C
17,72,17C,72C
17,74,17C,74C
17,78,17C,78C
17,79,17C,79C
17,80,17C,80C
17,81,17C,81C
17,86,17C,86C
17,88,17C,88C
17,94,17C,94C
17,98,17C,98C
17,99,17C,99C
18,21,18C,21C
18,23,18C,23C
18,24,18C,24C
18,25,18C,25C
18,26,18C,26C
18,27,18C,27C
18,28,18C,28C
18,30,18C,30C
18,32,18C,32C
18,34,18C,34C
18,35,18C,35C
18,38,18C,38C
18,39,18C,39C
18,40,18C,40C
18,41,18C,41C
18,43,18C,43C
18,45,18C,45C
18,48,18C,48C
18,49,18C,49C
18,54,18C,54C
18,58,18C,58C
18,63,18C,63C
18,73,18C,73C
18,75,18C,75C
18,76,18C,76C
18,78,18C,78C
18,79,18C,79C
18,81,18C,81C
18,83,18C,83C
18,85,18C,85C
18,90,18C,90C
18,93,18C,93C
19,20,19C,20C
19,23,19C,23C
19,24,19C,24C
19,25,19C,25C
19,26,19C,26C
19,32,19C,32C
19,34,19C,34C
19,35,19C,35C
19,36,19C,36C
19,41,19C,41C
19,43,19C,43C
19,44,19C,44C
19,45,19C,45C
19,47,19C,47C
19,49,19C,49C
19,50,19C,50C
19,54,19C,54C
19,69,19C,69C
19,79,19C,79C
19,81,19C,81C
19,82,19C,82C
19,83,19C,83C
19,93,19C,93C
19,94,19C,94C
19,98,19C,98C
20,21,20C,21C
20,23,20C,23C
20,25,20C,25C
20,26,20C,26C
20,32,20C,32C
20,34,20C,34C
20,36,20C,36C
20,39,20C,39C
20,52,20C,52C
20,53,20C,53C
20,65,20C,65C
20,67,20C,67C
20,85,20C,85C
20,86,20C,86C
20,89,20C,89C
20,93,20C,93C
21,22,21C,22C
21,24,21C,24C
21,32,21C,32C
21,36,21C,36C
21,39,21C,39C
21,43,21C,43C
21,50,21C,50C
21,57,21C,57C
21,76,21C,76C
21,92,21C,92C
21,95,21C,95C
22,23,22C,23C
22,24,22C,24C
22,25,22C,25C
22,26,22C,26C
22,33,22C,33C
22,46,22C,46C
22,50,22C,50C
22,52,22C,52C
22,57,22C,57C
22,65,22C,65C
22,75,22C,75C
22,84,22C,84C
22,99,22C,99C
23,25,23C,25C
23,26,23C,26C
23,27,23C,27C
23,28,23C,28C
23,30,23C,30C
23,36,23C,36C
23,40,23C,40C
23,50,23C,50C
23,55,23C,55C
23,66,23C,66C
23,80,23C,80C
23,87,23C,87C
24,26,24C,26C
24,28,24C,28C
24,29,24C,29C
24,31,24C,31C
24,34,24C,34C
24,38,24C,38C
24,40,24C,40C
24,41,24C,41C
24,51,24C,51C
24,52,24C,52C
24,58,24C,58C
24,62,24C,62C
24,64,24C,64C
24,67,24C,67C
24,74,24C,74C
24,79,24C,79C
24,82,24C,82C
24,83,24C,83C
24,84,24C,84C
24,91,24C,91C
24,92,24C,92C
24,95,24C,95C
24,97,24C,97C
24,99,24C,99C
25,29,25C,29C
25,31,25C,31C
25,34,25C,34C
25,39,25C,39C
25,40,25C,40C
25,44,25C,44C
25,47,25C,47C
25,48,25C,48C
25,50,25C,50C
25,51,25C,51C
25,52,25C,52C
25,56,25C,56C
25,60,25C,60C
25,63,25C,63C
25,64,25C,64C
25,69,25C,69C
25,77,25C,77C
25,78,25C,78C
25,85,25C,85C
25,91,25C,91C
25,94,25C,94C
26,28,26C,28C
26,30,26C,30C
26,31,26C,31C
26,32,26C,32C
26,39,26C,39C
26,45,26C,45C
26,54,26C,54C
26,55,26C,55C
26,64,26C,64C
26,67,26C,67C
26,68,26C,68C
26,73,26C,73C
26,82,26C,82C
26,90,26C,90C
26,91,26C,91C
26,92,26C,92C
26,93,26C,93C
27,32,27C,32C
27,34,27C,34C
27,35,27C,35C
27,39,27C,39C
27,40,27C,40C
27,44,27C,44C
27,45,27C,45C
27,48,27C,48C
27,50,27C,50C
27,52,27C,52C
27,56,27C,56C
27,62,27C,62C
27,65,27C,65C
27,67,27C,67C
27,70,27C,70C
27,78,27C,78C
27,91,27C,91C
27,92,27C,92C
27,96,27C,96C
28,33,28C,33C
28,43,28C,43C
28,64,28C,64C
28,67,28C,67C
28,77,28C,77C
28,80,28C,80C
29,34,29C,34C
29,36,29C,36C
29,37,29C,37C
29,38,29C,38C
29,40,29C,40C
29,47,29C,47C
29,48,29C,48C
29,54,29C,54C
29,56,29C,56C
29,58,29C,58C
29,71,29C,71C
29,76,29C,76C
29,80,29C,80C
29,85,29C,85C
29,87,29C,87C
30,31,30C,31C
30,38,30C,38C
30,46,30C,46C
30,48,30C,48C
30,49,30C,49C
30,53,30C,53C
30,57,30C,57C
30,60,30C,60C
30,61,30C,61C
30,66,30C,66C
30,69,30C,69C
30,71,30C,71C
30,76,30C,76C
30,94,30C,94C
31,32,31C,32C
31,36,31C,36C
31,50,31C,50C
31,53,31C,53C
31,57,31C,57C
31,59,31C,59C
31,73,31C,73C
31,94,31C,94C
31,96,31C,96C
32,37,32C,37C
32,46,32C,46C
32,49,32C,49C
32,61,32C,61C
32,92,32C,92C
33,37,33C,37C
33,40,33C,40C
33,51,33C,51C
33,54,33C,54C
33,56,33C,56C
33,58,33C,58C
33,83,33C,83C
33,84,33C,84C
33,88,33C,88C
33,92,33C,92C
33,95,33C,95C
34,35,34C,35C
34,43,34C,43C
34,49,34C,49C
34,71,34C,71C
34,75,34C,75C
35,37,35C,37C
35,42,35C,42C
35,45,35C,45C
35,48,35C,48C
35,70,35C,70C
35,79,35C,79C
35,97,35C,97C
36,37,36C,37C
36,56,36C,56C
36,62,36C,62C
36,66,36C,66C
36,75,36C,75C
36,82,36C,82C
36,83,36C,83C
36,84,36C,84C
36,99,36C,99C
37,38,37C,38C
37,41,37C,41C
37,46,37C,46C
37,56,37C,56C
37,58,37C,58C
37,61,37C,61C
37,67,37C,67C
37,68,37C,68C
37,89,37C,89C
38,42,38C,42C
38,48,38C,48C
38,50,38C,50C
38,54,38C,54C
38,63,38C,63C
38,77,38C,77C
38,86,38C,86C
38,87,38C,87C
38,90,38C,90C
38,93,38C,93C
39,45,39C,45C
39,53,39C,53C
39,55,39C,55C
39,65,39C,65C
39,83,39C,83C
39,86,39C,86C
39,90,39C,90C
39,91,39C,91C
40,45,40C,45C
40,51,40C,51C
40,55,40C,55C
40,59,40C,59C
40,71,40C,71C
40,89,40C,89C
40,98,40C,98C
41,42,41C,42C
41,51,41C,51C
41,55,41C,55C
41,56,41C,56C
41,61,41C,61C
41,81,41C,81C
41,84,41C,84C
42,76,42C,76C
43,68,43C,68C
43,78,43C,78C
43,94,43C,94C
43,95,43C,95C
44,49,44C,49C
44,51,44C,51C
44,57,44C,57C
44,72,44C,72C
44,74,44C,74C
44,75,44C,75C
44,87,44C,87C
44,95,44C,95C
44,98,44C,98C
44,99,44C,99C
45,48,45C,48C
45,49,45C,49C
45,71,45C,71C
45,72,45C,72C
45,73,45C,73C
45,74,45C,74C
45,93,45C,93C
45,95,45C,95C
46,54,46C,54C
46,58,46C,58C
46,59,46C,59C
46,62,46C,62C
46,73,46C,73C
47,52,47C,52C
47,63,47C,63C
47,65,47C,65C
47,69,47C,69C
47,72,47C,72C
47,73,47C,73C
47,74,47C,74C
47,84,47C,84C
47,86,47C,86C
47,88,47C,88C
47,89,47C,89C
47,90,47C,90C
47,94,47C,94C
48,53,48C,53C
48,54,48C,54C
48,55,48C,55C
48,57,48C,57C
48,64,48C,64C
48,73,48C,73C
48,81,48C,81C
48,88,48C,88C
48,89,48C,89C
48,97,48C,97C
49,52,49C,52C
49,59,49C,59C
49,68,49C,68C
49,76,49C,76C
50,57,50C,57C
50,63,50C,63C
50,87,50C,87C
51,52,51C,52C
51,61,51C,61C
51,74,51C,74C
51,80,51C,80C
51,94,51C,94C
52,59,52C,59C
52,62,52C,62C
52,81,52C,81C
53,56,53C,56C
53,60,53C,60C
53,85,53C,85C
54,60,54C,60C
54,69,54C,69C
54,70,54C,70C
54,78,54C,78C
54,81,54C,81C
54,87,54C,87C
55,57,55C,57C
55,66,55C,66C
56,63,56C,63C
56,67,56C,67C
56,93,56C,93C
56,96,56C,96C
58,65,58C,65C
58,66,58C,66C
58,70,58C,70C
58,81,58C,81C
58,91,58C,91C
58,92,58C,92C
58,98,58C,98C
59,64,59C,64C
59,66,59C,66C
59,69,59C,69C
59,71,59C,71C
59,74,59C,74C
59,77,59C,77C
59,88,59C,88C
59,96,59C,96C
59,99,59C,99C
60,61,60C,61C
60,79,60C,79C
60,80,60C,80C
60,87,60C,87C
60,96,60C,96C
60,98,60C,98C
61,62,61C,62C
61,69,61C,69C
61,92,61C,92C
62,66,62C,66C
62,85,62C,85C
62,88,62C,88C
62,89,62C,89C
63,84,63C,84C
64,68,64C,68C
64,71,64C,71C
64,85,64C,85C
64,86,64C,86C
64,98,64C,98C
66,70,66C,70C
66,78,66C,78C
66,84,66C,84C
67,73,67C,73C
67,90,67C,90C
68,73,68C,73C
68,77,68C,77C
68,91,68C,91C
68,96,68C,96C
69,83,69C,83C
69,99,69C,99C
72,76,72C,76C
72,79,72C,79C
72,80,72C,80C
72,86,72C,86C
72,97,72C,97C
73,76,73C,76C
74,75,74C,75C
74,90,74C,90C
74,95,74C,95C
74,97,74C,97C
75,77,75C,77C
75,82,75C,82C
75,88,75C,88C
75,92,75C,92C
77,84,77C,84C
77,86,77C,86C
77,89,77C,89C
78,85,78C,85C
78,90,78C,90C
78,91,78C,91C
78,97,78C,97C
78,99,78C,99C
79,86,79C,86C
79,98,79C,98C
82,83,82C,83C
82,88,82C,88C
83,84,83C,84C
83,85,83C,85C
83,99,83C,99C
84,92,84C,92C
85,91,85C,91C
85,93,85C,93C
86,91,86C,91C
86,93,86C,93C
86,97,86C,97C
89,95,89C,95C
93,96,93C,96C
